X,Y,Z
0.0,0.0,750
222.16666666666666,0.0,750
222.16666666666666,0.0,750
444.3333333333333,0.0,750
666.5,0.0,750
888.6666666666666,0.0,750
1110.8333333333333,0.0,750
1333.0,0.0,750
1555.1666666666665,0.0,750
1777.3333333333333,0.0,750
1999.5,0.0,750
0.0,110.0,750
222.16666666666666,110.0,750
444.3333333333333,110.0,750
666.5,110.0,750
888.6666666666666,110.0,750
1110.8333333333333,110.0,750
1333.0,110.0,750
1555.1666666666665,110.0,750
1777.3333333333333,110.0,750
1999.5,110.0,750
0.0,220.0,750
222.16666666666666,220.0,750
444.3333333333333,220.0,750
666.5,220.0,750
888.6666666666666,220.0,750
1110.8333333333333,220.0,750
1333.0,220.0,750
1555.1666666666665,220.0,750
1777.3333333333333,220.0,750
1999.5,220.0,750
0.0,330.0,750
222.16666666666666,330.0,750
444.3333333333333,330.0,750
666.5,330.0,750
888.6666666666666,330.0,750
1110.8333333333333,330.0,750
1333.0,330.0,750
1555.1666666666665,330.0,750
1777.3333333333333,330.0,750
1999.5,330.0,750
0.0,440.0,750
222.16666666666666,440.0,750
444.3333333333333,440.0,750
666.5,440.0,750
888.6666666666666,440.0,750
1110.8333333333333,440.0,750
1333.0,440.0,750
1555.1666666666665,440.0,750
1777.3333333333333,440.0,750
1999.5,440.0,750
0.0,550.0,750
222.16666666666666,550.0,750
444.3333333333333,550.0,750
666.5,550.0,750
888.6666666666666,550.0,750
1110.8333333333333,550.0,750
1333.0,550.0,750
1555.1666666666665,550.0,750
1777.3333333333333,550.0,750
1999.5,550.0,750
0.0,660.0,750
222.16666666666666,660.0,750
444.3333333333333,660.0,750
666.5,660.0,750
888.6666666666666,660.0,750
1110.8333333333333,660.0,750
1333.0,660.0,750
1555.1666666666665,660.0,750
1777.3333333333333,660.0,750
1999.5,660.0,750
0.0,770.0,750
222.16666666666666,770.0,750
444.3333333333333,770.0,750